branch_id,chronology_partition,branch,stage,protocol_time,outcome_time,protocol_source_file,protocol_evidence_status,hypothesis,primary_endpoint,threshold,upstream_result,local_gate,local_gate_precommitted,generic_policy_precommitted,workflow_action,next_expensive_step,actual_later_outcome,actual_outcome_class,model_runs_consumed,model_runs_prevented,final_test_consumed,source_file
B01,development_chronology,V10c24 scale extension,downstream_learning_utility,2026-07-13 23:25:14,2026-07-13 23:27:20,scripts/02_active_learning/run_v10c24_round2_scale_smoke.py,LOCAL_SCRIPT_BEFORE_SUMMARY_ONLY,Detector-aware selector scales at round2 budget120,mAP50-95 and recall/class safety,six frozen scale checks,mAP delta -0.004863,FAIL,False,False,STOP,additional V10c/V10d scale runs,not observed because stopped,COUNTERFACTUAL_UNOBSERVED,existing run only,not quantified,0,runs/active_learning_v10c24_round2_scale_smoke/v10c24_round2_scale_smoke_20260713_225326/recovered_v10c24_round2_scale_smoke_summary.md
B02,development_chronology,NEU seed45 fixed-set stability,downstream_learning_utility,2026-07-14 21:16:53,2026-07-14 21:17:03,scripts/02_active_learning/run_seed45_fixed_set_stability.py,LOCAL_SCRIPT_BEFORE_SUMMARY_ONLY,One Visual20 selected set is stable across training seeds,mAP50-95 stability,gain>=0.01; >=4/5 wins; safety,+0.016236; 5/5,PASS_DIAGNOSTIC,False,False,ADVANCE_TO_ACQUISITION_CONFIRMATION,10 new acquisition-set confirmation runs,independent confirmation FAIL (+0.007019; p=0.322266),LATER_FAILURE,20,0,0,runs/seed45_fixed_set_stability/seed45_fixed_set_stability_main/screen_gate.csv
B03,development_chronology,NEU independent acquisition confirmation,acquisition_set_confirmation,2026-07-14 21:21:51,2026-07-14 23:10:58,docs/v8_cold_start_visual_confirmation_protocol_20260714.md,EXPLICIT_PROTOCOL_BEFORE_OUTCOME,Seed45 benefit generalizes to new selected sets,paired mAP50-95 across 10 acquisition seeds,gain>=0.01; 7/10; p<=0.05; recall safety,+0.007019; CI crosses 0; p=0.322266,FAIL,True,False,STOP,larger cold-start selector study,not observed because stopped,COUNTERFACTUAL_UNOBSERVED,30,not quantified,0,runs/active_learning_v8_cold_start_confirmation/v8_cold_start_visual_confirm_main/confirmatory_gate.csv
B04,development_chronology,VisA global DINO selection,composition_safety,2026-07-15 19:43:05,2026-07-15 19:51:13,docs/visa_gt_free_annotation_triage_protocol_20260715.md,EXPLICIT_PROTOCOL_BEFORE_OUTCOME,Anomaly discovery improves without category collapse,anomaly yield plus 12-category safety,category coverage not worse,anomaly +14.480; category -4.110,FAIL,True,False,STOP,downstream anomaly-model experiment,not observed because stopped,COUNTERFACTUAL_UNOBSERVED,0,not quantified,0,docs/visa_selection_only_decision_20260715.md
B05,development_chronology,MPDD global DINO selection,composition_safety,2026-07-15 20:03:16,2026-07-15 20:11:17,docs/mpdd_hierarchical_dino_selection_protocol_20260715.md,EXPLICIT_PROTOCOL_BEFORE_OUTCOME,Anomaly discovery improves with category safety,anomaly yield plus product-category safety,category delta>=-0.25,anomaly +6.245; category -0.325,FAIL,True,False,STOP,downstream anomaly-model experiment,not observed because stopped,COUNTERFACTUAL_UNOBSERVED,0,not quantified,0,docs/mpdd_selection_only_decision_20260715.md
B06,development_chronology,GC10 global DINO selection,selection_validity,2026-07-15 20:22:46,2026-07-15 20:24:24,docs/gc10_taxonomy_selection_protocol_20260715.md,EXPLICIT_PROTOCOL_BEFORE_OUTCOME,Rare/taxonomy discovery improves safely,11 discovery/coverage/safety checks,rare gain>=0.75; combined-class gain>=0.25; safety,rare +2.720; combined classes +0.825,PASS,True,False,ADVANCE_TO_BOUNDED_SCREEN,one 5-acquisition x 3-training-seed detector screen,overall mAP +0.017378 but rare AP -0.019877; downstream gate FAIL,LATER_FAILURE,30,0,0,runs/gc10_taxonomy_selection_audit/gc10_random_vs_dino_200seed_20260715/gc10_selection_only_gate.csv
B07,development_chronology,GC10 first detector translation,downstream_learning_utility,2026-07-15 20:29:17,2026-07-15 21:10:17,docs/gc10_development_detector_confirmation_protocol_20260715.md,EXPLICIT_PROTOCOL_BEFORE_OUTCOME,Discovery gain translates to overall and rare detector utility,mAP50-95 and rare macro AP,mAP gain>=0.010; rare gain>=0.020; safety,mAP +0.017378; rare AP -0.019877,FAIL,True,False,STOP,expanded detector study,not observed because stopped,COUNTERFACTUAL_UNOBSERVED,30,not quantified,0,runs/gc10_detector_confirmation/gc10_dev_confirm_5acq_3train_20260715/detector_development_confirmation_gate.csv
B08,development_chronology,VLM consistency validity,signal_validity,2026-07-15 21:33:30,2026-07-15 21:40:32,docs/vlm_consistency_groundedness_validity_protocol_20260715.md,EXPLICIT_PROTOCOL_BEFORE_OUTCOME,Explanation consistency tracks grounding/error,Spearman/AUC/quartile gap,six frozen signal-validity checks,Spearman -0.181199; AUC 0.373433,FAIL,True,False,STOP_EXPENSIVE_PATH_ALLOW_CHEAP_DIAGNOSTIC,VLM-scored acquisition plus detector training,oracle/model diagnostics also failed; expensive acquisition not run,DIAGNOSTIC_CORROBORATION,0,not quantified,0,runs/vlm_consistency_groundedness_validity/legacy_pilot_audit_20260715_main/legacy_validity_gate.csv
B09,development_chronology,VLM oracle crop groundedness,signal_validity,2026-07-15 22:33:28,2026-07-15 22:33:36,scripts/03_analysis/audit_oracle_crop_vlm_diagnostic.py,LOCAL_SCRIPT_BEFORE_SUMMARY_ONLY,Oracle localization restores grounded evidence,presence/evidence/IoU,presence>=0.50; evidence>=0.70,presence 0; evidence 0; median IoU 0,FAIL,False,False,STOP_EXPENSIVE_PATH_ALLOW_CHEAP_DIAGNOSTIC,prompt/selector expansion,paired model probe also 0/3 pass,DIAGNOSTIC_CORROBORATION,0,not quantified,0,runs/vlm_consistency_groundedness_validity/oracle_crop_diagnostic20_gc10_20260715/oracle_crop_audit/oracle_crop_diagnostic_gate.csv
B10,temporal_holdout,Paired VLM model comparison,signal_validity,2026-07-15 22:51:04,2026-07-15 23:15:53,scripts/03_analysis/run_paired_vlm_model_comparison.ps1,LOCAL_SCRIPT_BEFORE_SUMMARY_ONLY,Another small VLM restores compliance and grounding,balanced accuracy plus bbox grounding,all frozen paired checks,0/3 pass; best BA 0.70 with IoU 0,FAIL,False,False,STOP,further prompt/model search,not observed because stopped,COUNTERFACTUAL_UNOBSERVED,0,not quantified,0,runs/vlm_consistency_groundedness_validity/paired_model_comparison_gc10_20260715/comparison/paired_model_gate_comparison.csv
B11,temporal_holdout,GC10 D2R label-aware retrieval,signal_validity,2026-07-15 23:52:05,2026-07-15 23:53:24,docs/gc10_d2r_label_aware_retrieval_diagnostic_protocol_20260715.md,EXPLICIT_PROTOCOL_BEFORE_OUTCOME,Label-aware global retrieval repairs class8 representation,top1/P@5/top32 recovery,top1>=0.50 plus six checks,best top1 0.153846; 0 eligible methods,FAIL,True,False,STOP,15-model detector confirmation,not observed because stopped,COUNTERFACTUAL_UNOBSERVED,0,15,0,runs/gc10_discovery_representation_audit/gc10_d2r_200seed_20260715/label_aware_retrieval_audit/label_aware_class8_recovery_gate.csv
B12,temporal_holdout,DCAL-XAI flip disagreement,selection_validity,2026-07-18 12:15:25,2026-07-18 12:47:51,scripts/04_dcal_xai/protocol.md,EXPLICIT_PROTOCOL_BEFORE_OUTCOME,Flip disagreement is useful detector uncertainty,coverage plus instance noninferiority,all seven R1 checks,instances -2.2; 94/100 one-view dominated,FAIL,True,False,STOP,hybrid detector confirmation,not observed because stopped,COUNTERFACTUAL_UNOBSERVED,acquisition warm-start training only,not quantified,0,runs/dcal_xai/gc10_r1/selection_summary.md
B13,temporal_holdout,K40 budget140 selection holdout,selection_validity,2026-07-18 12:57:32,2026-07-18 12:58:10,scripts/04_dcal_xai/v2_budget_extension_protocol.md,EXPLICIT_PROTOCOL_BEFORE_OUTCOME,Larger budget and K40 reduce taxonomy omission,all-class/all-rare/min-two coverage and safety,design thresholds reused on independent holdout,all-class 0.955 vs 0.940; selection PASS,PASS,True,False,ADVANCE_TO_BOUNDED_SCREEN,30-model YOLOv8n screen,mAP -0.001678; rare -0.018290; recall -0.021871; FAIL,LATER_FAILURE,0,0,0,runs/dcal_xai/v2_budget_extended/decision.json
B14,temporal_holdout,K40 YOLOv8n downstream,downstream_learning_utility,2026-07-18 13:31:30,2026-07-18 15:10:25,scripts/04_dcal_xai/v2_backbone_protocol.md,EXPLICIT_PROTOCOL_BEFORE_OUTCOME,K40 coverage translates to detector and rare utility,"mAP, recall, rare/worst-class safety",five frozen downstream checks,mAP -0.001678; rare -0.018290; recall -0.021871,FAIL,True,False,STOP,30 YOLOv8s expansion models,not observed because stopped,COUNTERFACTUAL_UNOBSERVED,30,30,0,runs/dcal_xai/v2_backbone_main/v8n_screen_decision.json
B15,temporal_holdout,V2.3 detector uncertainty,operational_validity,2026-07-18 15:32:30,2026-07-18 15:35:37,scripts/04_dcal_xai/v2_detector_signal_validity_protocol.md,EXPLICIT_PROTOCOL_BEFORE_OUTCOME,Top20% total-error enrichment is operationally sufficient,total FP+FN enrichment,>=1.50 plus CI/AUROC/rho/stability,1.115901; AUROC 0.766432; primary effect-size FAIL,FAIL,True,False,STOP,selection/retraining/FN implementation,not observed because stopped; FN endpoints exploratory only,COUNTERFACTUAL_UNOBSERVED,0,0,0,runs/dcal_xai/v2_detector_signal_validity/decision.json
