hypothesis_id,research_phase,original_hypothesis,original_claim_strength,original_source,dataset,method,primary_metric,frozen_gate,observed_result,evidence_status,failure_or_support_mechanism,revised_research_question,allowed_claim,prohibited_claim,manuscript_section,source_file
H01,initial_plan,VLM 설명 Self-Consistency는 epistemic uncertainty의 직접 근사치이다.,theoretical proof,초기 발표 p.11; 연구계획서 p.3-4,NEU-DET; GC10-DET,multi-prompt semantic consistency,consistency-error/groundedness correlation,legacy Spearman>=0.20 and AUC>=0.60,"Spearman=-0.181199, CI [-0.389654, 0.036410]; severe-failure AUC=0.373433; gate 0/6",rejected,consistent hallucination and semantic consistency-grounding decoupling,언어적 일관성이 어떤 조건에서도 acquisition signal로 번역되지 않는가?,본 설정에서 consistency는 epistemic uncertainty의 유효한 직접 근사가 아니었다.,VLM epistemic uncertainty를 증명했다.,4.2 VLM consistency validity,runs/vlm_consistency_groundedness_validity/legacy_pilot_audit_20260715_main/legacy_validity_metrics.csv
H02,initial_plan,낮은 consistency는 detector 오류와 양의 상관을 가진다.,H1 confirmatory,초기 발표 p.11; 타당성 연구 p.7,GC10-DET; NEU-DET,legacy consistency audit,Spearman and severe-failure AUC,positive correlation in every dataset,GC10 Spearman=-0.311545; NEU=-0.084942; expected direction not observed,confirmatory_negative,response agreement did not track visual correctness,consistency와 grounding을 먼저 분리 검증해야 하는가?,예상한 오류 상관 방향은 확인되지 않았다.,낮은 consistency가 높은 오류를 예측한다.,4.2 VLM consistency validity,runs/vlm_consistency_groundedness_validity/legacy_pilot_audit_20260715_main/legacy_validity_metrics.csv
H03,initial_plan,Consistency 기반 selection은 Random/Entropy보다 detector learning curve가 우수하다.,H2 superiority,초기 발표 p.11; 연구계획서 p.6,NEU-DET,VLM consistency selector family,mAP50-95 vs label budget,stable superiority across acquisition seeds,VLM validity prerequisite failed; later GT-free selector branches did not stably beat Random,rejected,signal validity failed before learning utility,selection 전에 signal validity를 gate할 수 있는가?,VLM consistency selector branch was stopped at validity stage.,Consistency selection is superior to Random.,4.4 branch decision,docs/branch_decision_table_20260718.csv
H04,vlm_grounding,Detection-oriented prompt와 groundedness를 결합하면 VLM selection utility가 복구된다.,method repair,"VLM 문헌지도 p.1, p.7",GC10-DET,structured full-image prompts,"schema, bbox coverage, IoU",schema/informative>=0.90; bbox coverage>=0.80,schema completeness=0.01; bbox coverage=0.30; median IoU=0; gate FAIL,rejected,structured compliance and visual grounding collapse,oracle localization에서도 grounding이 복구되는가?,Prompt 구조화만으로 grounded acquisition signal이 복구되지 않았다.,Groundedness 결합이 selection utility를 향상했다.,4.3 groundedness audit,runs/vlm_consistency_groundedness_validity/structured_prompt_pilot20_gc10_20260715/groundedness_audit/structured_groundedness_metrics.csv
H05,vlm_grounding,Oracle crop이 위치 문맥을 제공하면 positive evidence와 bbox grounding이 복구된다.,strong diagnostic,oracle crop frozen protocol,GC10-DET,20 positive oracle crops,"presence, evidence, median IoU",presence>=0.50; evidence>=0.70,"parse=1.0, informative=1.0, presence=0, evidence=0, median IoU=0; FAIL",confirmatory_negative,all-negative presence collapse persisted under oracle localization,collapse가 특정 모델에 한정되는가?,더 쉬운 oracle crop 조건에서도 grounded defect evidence가 실패했다.,Full-image 난이도만이 VLM 실패 원인이다.,4.3 oracle crop diagnostic,runs/vlm_consistency_groundedness_validity/oracle_crop_diagnostic20_gc10_20260715/oracle_crop_audit/oracle_crop_diagnostic_metrics.csv
H06,vlm_grounding,다른 소형 Qwen VLM은 compliance-grounding collapse를 복구한다.,cross-model confirmation,paired model comparison protocol,GC10-DET,3 models x 40 paired views,balanced accuracy and median bbox IoU,"all compliance, sensitivity, specificity and grounding checks",0/3 pass; best balanced accuracy=0.70 with median IoU=0,confirmatory_negative,model-specific but persistent collapse modes,VLM은 acquisition scorer가 아니라 evidence-constrained interface로만 제한해야 하는가?,검토한 세 소형 모델에서 deployable grounded signal을 얻지 못했다.,모델 교체로 VLM signal validity가 해결됐다.,4.4 paired model comparison,runs/vlm_consistency_groundedness_validity/paired_model_comparison_gc10_20260715/comparison/paired_model_gate_comparison.csv
H07,gt_free_selection,Global DINO diversity/coverage는 중복을 줄이고 범용 detector utility를 높인다.,cross-dataset utility,초기 AL diversity 근거; DINO branch protocols,NEU-DET; GC10-DET; MPDD; VisA,frozen global DINO,"discovery, composition, downstream mAP",dataset-specific selection and translation gates,"Discovery gains existed, but VisA category collapse, MPDD source confound, GC10 rare-AP loss and NEU non-generalization occurred",rejected,global representation follows dominant product/source/texture variation rather than local defect utility,"Discovery, composition safety and learner utility를 분리해야 하는가?",Global DINO는 일부 fixed benchmark discovery endpoint를 개선했지만 범용 utility는 보장하지 않았다.,DINO diversity generally improves detector performance.,5-6 selection and translation,docs/stratified_condition_robustness_decision_20260718.md
H08,cold_start,NEU seed45의 고정 Visual20 집합은 training seed 변화에도 Random20보다 우수하다.,fixed-set diagnostic,V8 seed45 post-hoc clue,NEU-DET,one acquisition set x 5 training seeds,mAP50-95 difference,gain>=0.01; >=4/5 wins; safety,"+0.016236, 5/5 wins, descriptive CI about [0.006738, 0.027864]; fixed-set gate PASS",descriptive_positive,selected-set effect was not explained solely by training noise,새 acquisition set에서도 반복되는가?,그 한 고정 선택 집합은 다섯 training seeds에서 안정적이었다.,Cold-start DINO selector generally outperforms Random.,6.3 seed45 fixed-set diagnostic,runs/seed45_fixed_set_stability/seed45_fixed_set_stability_main/screen_gate.csv
H09,cold_start_confirmation,Seed45 효과는 새로운 acquisition seeds에 일반화된다.,preregistered confirmation,V8 cold-start confirmation protocol,NEU-DET,10 new acquisition seeds,paired mAP50-95 difference,gain>=0.01; >=7/10; p<=0.05; recall safety,"+0.007019; CI [-0.005211, 0.019678]; p=0.322266; 7/10; FAIL",confirmatory_negative,acquisition-set non-generalization,training-seed stability와 acquisition robustness를 구분해야 하는가?,Fixed-set stability did not establish acquisition-set generalization.,Seed45 result was independently confirmed.,6.4 acquisition confirmation,runs/active_learning_v8_cold_start_confirmation/v8_cold_start_visual_confirm_main/confirmatory_gate.csv
H10,random_audit,Random은 class/instance/bbox coverage가 약한 baseline이다.,baseline assumption,early selector framing,NEU-DET,V10c24 Random post-hoc audit,"class coverage, instance diversity, bbox richness",audit only,"Random already supplied broad class coverage, instance diversity and bbox richness in the balanced large pool",rejected,balanced pool and non-tiny budget make Random robust,Random이 강한 pool 조건은 무엇인가?,Balanced large-pool NEU에서 Random은 강한 baseline이었다.,Random is a weak baseline.,6.2 Random baseline strength,runs/random_baseline_audit_v10c24/random_baseline_audit_20260713_225216/random_baseline_audit_summary.md
H11,cross_dataset_selection,GC10 Frozen DINO가 rare/taxonomy discovery를 안전하게 개선한다.,selection-only confirmatory,GC10 frozen protocol,GC10-DET,initial20/query20; 200 paired seeds,rare images/classes and combined classes,11 checks; rare gain>=0.75; class gain>=0.25,"rare images +2.720, CI [2.455, 2.980]; combined classes +0.825; selection gate PASS",partially_supported,fixed-pool rare discovery plus filename-sequence proxy diversification,selection gain이 rare detector AP로 번역되는가?,동일 fixed benchmark pool의 200 paired seeds에서 rare discovery가 증가했다.,GC10 detector performance improved generally.,5.2 GC10 discovery,runs/stratified_condition_robustness_20260718/stratified_effect_summary.csv
H12,cross_dataset_selection,MPDD FrozenCategoryBalancedDINO가 category safety를 유지하며 anomaly discovery를 높인다.,selection-only,MPDD frozen protocol,MPDD,initial20/query20; 200 paired seeds,anomaly yield and category coverage,category delta>=-0.25,"anomaly +6.245, CI [5.885, 6.605]; category -0.325; overall gate FAIL",descriptive_positive,source-confounded capture-day diversification; 67.3% source-composition contribution,Discovery gain이 source/category composition에 의존하는가?,같은 candidate pool에서 anomaly yield는 증가했지만 safety gate는 실패했다.,MPDD downstream anomaly utility or production generalization improved.,5.3 MPDD discovery and confound,runs/stratified_condition_robustness_20260718/stratified_effect_summary.csv
H13,cross_dataset_selection,VisA Frozen DINO가 12-category safety를 유지하며 sparse anomaly discovery를 높인다.,selection-only,VisA frozen protocol,VisA,initial20/query20; 200 paired seeds,anomaly yield and category coverage,category coverage not worse,"anomaly +14.480, CI [14.195, 14.770]; category -4.110; HHI +0.286025; all 200 seeds gain+safety loss",descriptive_positive,category collapse; 72.4% of gain associated with dominant category contribution,Discovery와 composition safety를 별도 gate로 두어야 하는가?,Anomaly discovery rose while category coverage collapsed.,VisA selector was successful or safe.,5.4 VisA category collapse,runs/stratified_condition_robustness_20260718/stratified_effect_summary.csv
H14,selection_learning_translation,GC10 q20 discovery gain은 overall 및 rare detector utility로 번역된다.,frozen downstream confirmation,GC10 development detector confirmation,GC10-DET,5 acquisitions x 3 training seeds,mAP50-95 and rare macro AP,mAP gain>=0.010 and rare gain>=0.020 plus safety,overall mAP +0.017378; rare macro AP -0.019877; gate FAIL,partially_supported,overall mAP-rare safety trade-off,평균 utility와 rare-class safety를 분리해야 하는가?,"Overall development mAP rose in this protocol, but rare utility worsened and the gate failed.",GC10 DINO detector translation succeeded.,6.5 first detector translation,runs/gc10_detector_confirmation/gc10_dev_confirm_5acq_3train_20260715/detector_development_confirmation_gate.csv
H15,budget_reset,K40 budget140은 Random140보다 taxonomy omission risk를 낮춘다.,selection holdout confirmation,V2 budget protocol,GC10-DET,200 design + 200 holdout seeds,all-class/all-rare/min-two coverage,all-class>=0.90; all-rare>=0.90; min-two>=0.75; safety,holdout all-class 0.955 vs 0.940; rare images +1.820; selection gate PASS,partially_supported,cluster coverage reduced zero-coverage risk,taxonomy coverage가 detector learning utility로 번역되는가?,K40 reduced fixed-benchmark taxonomy omission risk at budget140.,K40 improves detector utility.,5.5 K40 coverage,runs/dcal_xai/v2_budget_extended/decision.json
H16,selection_learning_translation,K40 coverage gain은 YOLOv8n overall/rare detector utility로 번역된다.,confirmatory downstream screen,V2.2 protocol,GC10-DET,5 acquisitions x 3 training seeds x 2 policies,"mAP50-95, recall, rare macro AP",five downstream checks,"mAP -0.001678, rare AP -0.018290, recall -0.021871; FAIL",confirmatory_negative,coverage-utility gap,Selection-stage coverage는 learner utility의 필요조건도 충분조건도 아닌가?,Coverage PASS did not translate to detector utility in the frozen screen.,K40 downstream noninferiority or superiority.,6.6 K40 translation,runs/dcal_xai/v2_backbone_main/v8n_screen_decision.json
H17,detector_coupled,Horizontal-flip disagreement는 epistemic detector uncertainty이다.,selection signal,DCAL-XAI R1,GC10-DET,DetectorDifficultyDiversity,coverage with instance noninferiority,all seven R1 checks,query instances -2.2; 94/100 selections had one-view detection dominance; FAIL,rejected,augmentation geometry confound,Detector-native signals must be validated against actual error before use.,Flip disagreement was dominated by geometry/view sensitivity in this setup.,Flip disagreement estimates epistemic uncertainty.,7.2 flip disagreement,runs/dcal_xai/gc10_r1/selection_summary.md
H18,detector_signal_validity,Frozen detector ensemble uncertainty enriches top20% total FP+FN enough for AL.,preregistered primary,V2.3 protocol,GC10-DET,15 existing Random140 checkpoints,top20% total-error enrichment,mean>=1.50; CI low>1; AUROC>=0.65; rho>=0.20; stability>=0.50,"1.115901, CI [1.034640, 1.221093]; AUROC=0.766432; six of seven checks but primary effect-size FAIL",confirmatory_negative,ranking signal without sufficient operational top-budget enrichment,Ranking quality와 actionable review enrichment를 분리해야 하는가?,The signal ranked error above chance but failed the frozen operational enrichment threshold.,Detector uncertainty AL gate passed.,7.3 V2.3 operational gate,runs/dcal_xai/v2_detector_signal_validity/decision.json
H19,detector_signal_validity,Confidence/no-detection may enrich FN and rare-FN for recall-repair triage.,post-hoc hypothesis generation,V2.3 secondary endpoints,GC10-DET,same sealed development predictions,FN/rare-FN enrichment,none; not primary,combined FN=1.379693; rare-FN=1.785910; confidence rare-FN=2.683022; rare support 18 images/22 boxes,exploratory_only,possible recall-oriented ranking; small rare support and reused development split,Untouched native-bbox pool에서 recall triage를 독립 검증할 수 있는가?,FN endpoints motivate a future protocol only.,Recall-repair triage is validated.,7.4 exploratory FN signal,docs/fn_failure_prediction_extension_feasibility_20260718.md
H20,condition_map,Target sparsity/prevalence가 selector discovery gain을 조절한다.,cross-dataset condition law,three-dataset condition-map hypothesis,GC10-DET; MPDD; VisA,200-seed stratified audit,prevalence-stratum effect,target range>=20; relative range>=0.10; >=20 independent pools/tertile,"No dataset passed; pool Jaccard GC10=0.978446, MPDD=0.962827, VisA=0.995386",not_identifiable,leave-20 perturbations of one fixed pool; prevalence nearly fixed,Independent pool realizations are required before condition-effect estimation.,Same-pool selector effects are identifiable; prevalence moderation is not.,Sparse targets cause larger gains.,5.6 identifiability audit,docs/stratified_audit_design_feasibility_20260718.md
H21,metadata_feasibility,GC10/MPDD/VisA metadata can create independent production pool realizations.,prospective feasibility,metadata feasibility protocol,GC10-DET; MPDD; VisA,manifest+EXIF audit,documented independent groups,>=20 documented target-blind groups N>=40 and mixed-target support,0/3 datasets pass; overall CURRENT_DATASETS_INDEPENDENT_POOL_NO_GO,not_identifiable,metadata proxy-production lot validity gap,Real lot/time/source metadata must be prospectively collected.,Current benchmarks cannot support independent-production generalization.,"EXIF day, filename group, or category is a production lot.",5.7 metadata feasibility,docs/metadata_feasibility_decision_20260718.md
H22,metadata_feasibility,Existing proxies can still diagnose composition sensitivity descriptively.,post-hoc mechanism audit,metadata audit protocol,GC10-DET; MPDD; VisA,frozen-selection concentration audit,group coverage/entropy/HHI deltas,descriptive only,GC10 filename groups +1.465; MPDD DINO capture days +1.130; VisA categories -4.110 and HHI +0.286025,descriptive_positive,proxy diversification differs from category collapse,Composition safety should be reported beside discovery.,The frozen selections altered proxy/session/category composition in dataset-specific ways.,These proxies prove production generalization.,5.7 metadata mechanism,runs/metadata_feasibility_audit_20260718/metadata_feasibility_main/selection_session_concentration_summary.csv
H23,initial_plan,VLM-AL improves mAP by 2-3 percentage points over HDAL-LB.,quantitative superiority target,"연구계획서 p.3, p.6, p.9",NEU-DET,planned VLM-AL vs HDAL-LB,mAP,+0.02 to +0.03,No confirmatory HDAL-LB superiority test meeting this target; tested selector families did not stably beat Random,rejected,signal and acquisition generalization failed before target claim,Method superiority가 아니라 translation validity를 평가한다.,The original +2-3% superiority target was not achieved.,+2-3% mAP improvement.,1.3 scope transition,C:\Users\user\Downloads\474aae46-65df-4446-bb82-de5f46bfe19b__학위논문_연구계획서_(전체_문서).pdf
H24,initial_plan,제안 시스템은 label cost를 50-80% 절감한다.,operational/ROI claim,초기 발표 p.2; 연구계획서 p.9; 타당성 연구 p.15,planned field setting,planned cost analysis,measured annotation cost at matched performance,50-80% reduction,No field annotation-time/cost study and no matched-performance cost curve,not_tested,operational outcome not measured,Gate가 불필요한 model runs를 얼마나 방지하는가?,At least 45 planned detector model runs and all final-test consumption were avoided; monetary savings were not measured.,50-80% label cost reduction or ROI.,8.5 cost prevention,docs/three_dataset_condition_map_decision_20260718.md
H25,initial_plan,VLM language alignment improves domain adaptation by 3-5% mAP.,quantitative domain adaptation,연구계획서 p.3-6,NEU-DET to KAMP/MVTec 3D-AD,planned language alignment,target-domain mAP,+0.03 to +0.05,Not executed under the frozen evidence program,not_tested,scope was narrowed before implementation,Domain shift requires a separate supervised study.,Domain adaptation remains outside the tested thesis evidence.,Language alignment improved domain adaptation.,9 future work,C:\Users\user\Downloads\474aae46-65df-4446-bb82-de5f46bfe19b__학위논문_연구계획서_(전체_문서).pdf
H26,initial_plan,A local lightweight VLM runs at 0.2 s/image on one RTX 3090.,deployment target,연구계획서 p.3-4,deployment benchmark,planned QLoRA/vLLM stack,latency and memory,0.2 s/image,No frozen latency/memory benchmark matching the planned system,not_tested,implementation target was not the final research question,Deployment benchmarking belongs to future engineering work.,Local execution was explored in components only; the target was not validated.,0.2 s/image local deployment achieved.,9 future work,C:\Users\user\Downloads\474aae46-65df-4446-bb82-de5f46bfe19b__학위논문_연구계획서_(전체_문서).pdf
H27,initial_plan,Grounded explanations improve inspector trust and field acceptance.,human/field outcome,"타당성 연구 p.14-15, p.21",field inspectors,planned human study,trust/reinspection/acceptance,trust 27% to 60%; reinspection 73% to 40%,No inspector study or field pilot was conducted,not_tested,human outcome not measured; VLM grounding validity also failed,Explanations must be evidence-constrained before any human study.,Explainability/trust remains an untested future-work objective.,Inspector trust or acceptance improved.,9 future work,C:\Users\user\Downloads\4d8e6f7e-b94d-41b7-a14d-5f8ecfda569f_VLM_Self-Consistency_기반_설명_가능한_능동_학습_제조_현장_수용성_향상을_위한_타당성_연구.pdf
