acquisition_seed,strategy,round,labeled_budget,dataset_type,count
42,GTFreeDatasetBalancedConsistency,0,15,GC10-DET,6
42,GTFreeDatasetBalancedConsistency,0,15,NEU-DET,9
42,GTFreeDatasetBalancedConsistency,1,20,GC10-DET,10
42,GTFreeDatasetBalancedConsistency,1,20,NEU-DET,10
42,GTFreeDatasetBalancedConsistency,2,25,GC10-DET,13
42,GTFreeDatasetBalancedConsistency,2,25,NEU-DET,12
42,GTFreeDatasetBalancedConsistency,3,30,GC10-DET,15
42,GTFreeDatasetBalancedConsistency,3,30,NEU-DET,15
42,GTFreeDatasetBalancedConsistency,4,35,GC10-DET,18
42,GTFreeDatasetBalancedConsistency,4,35,NEU-DET,17
42,GTFreeDatasetBalancedVisualDiversity,0,15,GC10-DET,6
42,GTFreeDatasetBalancedVisualDiversity,0,15,NEU-DET,9
42,GTFreeDatasetBalancedVisualDiversity,1,20,GC10-DET,10
42,GTFreeDatasetBalancedVisualDiversity,1,20,NEU-DET,10
42,GTFreeDatasetBalancedVisualDiversity,2,25,GC10-DET,13
42,GTFreeDatasetBalancedVisualDiversity,2,25,NEU-DET,12
42,GTFreeDatasetBalancedVisualDiversity,3,30,GC10-DET,15
42,GTFreeDatasetBalancedVisualDiversity,3,30,NEU-DET,15
42,GTFreeDatasetBalancedVisualDiversity,4,35,GC10-DET,18
42,GTFreeDatasetBalancedVisualDiversity,4,35,NEU-DET,17
42,GTFreeRandom,0,15,GC10-DET,6
42,GTFreeRandom,0,15,NEU-DET,9
42,GTFreeRandom,1,20,GC10-DET,8
42,GTFreeRandom,1,20,NEU-DET,12
42,GTFreeRandom,2,25,GC10-DET,9
42,GTFreeRandom,2,25,NEU-DET,16
42,GTFreeRandom,3,30,GC10-DET,11
42,GTFreeRandom,3,30,NEU-DET,19
42,GTFreeRandom,4,35,GC10-DET,14
42,GTFreeRandom,4,35,NEU-DET,21
43,GTFreeDatasetBalancedConsistency,0,15,GC10-DET,10
43,GTFreeDatasetBalancedConsistency,0,15,NEU-DET,5
43,GTFreeDatasetBalancedConsistency,1,20,GC10-DET,10
43,GTFreeDatasetBalancedConsistency,1,20,NEU-DET,10
43,GTFreeDatasetBalancedConsistency,2,25,GC10-DET,13
43,GTFreeDatasetBalancedConsistency,2,25,NEU-DET,12
43,GTFreeDatasetBalancedConsistency,3,30,GC10-DET,15
43,GTFreeDatasetBalancedConsistency,3,30,NEU-DET,15
43,GTFreeDatasetBalancedConsistency,4,35,GC10-DET,18
43,GTFreeDatasetBalancedConsistency,4,35,NEU-DET,17
43,GTFreeDatasetBalancedVisualDiversity,0,15,GC10-DET,10
43,GTFreeDatasetBalancedVisualDiversity,0,15,NEU-DET,5
43,GTFreeDatasetBalancedVisualDiversity,1,20,GC10-DET,10
43,GTFreeDatasetBalancedVisualDiversity,1,20,NEU-DET,10
43,GTFreeDatasetBalancedVisualDiversity,2,25,GC10-DET,13
43,GTFreeDatasetBalancedVisualDiversity,2,25,NEU-DET,12
43,GTFreeDatasetBalancedVisualDiversity,3,30,GC10-DET,15
43,GTFreeDatasetBalancedVisualDiversity,3,30,NEU-DET,15
43,GTFreeDatasetBalancedVisualDiversity,4,35,GC10-DET,18
43,GTFreeDatasetBalancedVisualDiversity,4,35,NEU-DET,17
43,GTFreeRandom,0,15,GC10-DET,10
43,GTFreeRandom,0,15,NEU-DET,5
43,GTFreeRandom,1,20,GC10-DET,14
43,GTFreeRandom,1,20,NEU-DET,6
43,GTFreeRandom,2,25,GC10-DET,17
43,GTFreeRandom,2,25,NEU-DET,8
43,GTFreeRandom,3,30,GC10-DET,19
43,GTFreeRandom,3,30,NEU-DET,11
43,GTFreeRandom,4,35,GC10-DET,22
43,GTFreeRandom,4,35,NEU-DET,13
44,GTFreeDatasetBalancedConsistency,0,15,GC10-DET,10
44,GTFreeDatasetBalancedConsistency,0,15,NEU-DET,5
44,GTFreeDatasetBalancedConsistency,1,20,GC10-DET,10
44,GTFreeDatasetBalancedConsistency,1,20,NEU-DET,10
44,GTFreeDatasetBalancedConsistency,2,25,GC10-DET,13
44,GTFreeDatasetBalancedConsistency,2,25,NEU-DET,12
44,GTFreeDatasetBalancedConsistency,3,30,GC10-DET,15
44,GTFreeDatasetBalancedConsistency,3,30,NEU-DET,15
44,GTFreeDatasetBalancedConsistency,4,35,GC10-DET,18
44,GTFreeDatasetBalancedConsistency,4,35,NEU-DET,17
44,GTFreeDatasetBalancedVisualDiversity,0,15,GC10-DET,10
44,GTFreeDatasetBalancedVisualDiversity,0,15,NEU-DET,5
44,GTFreeDatasetBalancedVisualDiversity,1,20,GC10-DET,10
44,GTFreeDatasetBalancedVisualDiversity,1,20,NEU-DET,10
44,GTFreeDatasetBalancedVisualDiversity,2,25,GC10-DET,13
44,GTFreeDatasetBalancedVisualDiversity,2,25,NEU-DET,12
44,GTFreeDatasetBalancedVisualDiversity,3,30,GC10-DET,15
44,GTFreeDatasetBalancedVisualDiversity,3,30,NEU-DET,15
44,GTFreeDatasetBalancedVisualDiversity,4,35,GC10-DET,18
44,GTFreeDatasetBalancedVisualDiversity,4,35,NEU-DET,17
44,GTFreeRandom,0,15,GC10-DET,10
44,GTFreeRandom,0,15,NEU-DET,5
44,GTFreeRandom,1,20,GC10-DET,13
44,GTFreeRandom,1,20,NEU-DET,7
44,GTFreeRandom,2,25,GC10-DET,14
44,GTFreeRandom,2,25,NEU-DET,11
44,GTFreeRandom,3,30,GC10-DET,16
44,GTFreeRandom,3,30,NEU-DET,14
44,GTFreeRandom,4,35,GC10-DET,20
44,GTFreeRandom,4,35,NEU-DET,15
45,GTFreeDatasetBalancedConsistency,0,15,GC10-DET,4
45,GTFreeDatasetBalancedConsistency,0,15,NEU-DET,11
45,GTFreeDatasetBalancedConsistency,1,20,GC10-DET,9
45,GTFreeDatasetBalancedConsistency,1,20,NEU-DET,11
45,GTFreeDatasetBalancedConsistency,2,25,GC10-DET,13
45,GTFreeDatasetBalancedConsistency,2,25,NEU-DET,12
45,GTFreeDatasetBalancedConsistency,3,30,GC10-DET,15
45,GTFreeDatasetBalancedConsistency,3,30,NEU-DET,15
45,GTFreeDatasetBalancedConsistency,4,35,GC10-DET,18
45,GTFreeDatasetBalancedConsistency,4,35,NEU-DET,17
45,GTFreeDatasetBalancedVisualDiversity,0,15,GC10-DET,4
45,GTFreeDatasetBalancedVisualDiversity,0,15,NEU-DET,11
45,GTFreeDatasetBalancedVisualDiversity,1,20,GC10-DET,9
45,GTFreeDatasetBalancedVisualDiversity,1,20,NEU-DET,11
45,GTFreeDatasetBalancedVisualDiversity,2,25,GC10-DET,13
45,GTFreeDatasetBalancedVisualDiversity,2,25,NEU-DET,12
45,GTFreeDatasetBalancedVisualDiversity,3,30,GC10-DET,15
45,GTFreeDatasetBalancedVisualDiversity,3,30,NEU-DET,15
45,GTFreeDatasetBalancedVisualDiversity,4,35,GC10-DET,18
45,GTFreeDatasetBalancedVisualDiversity,4,35,NEU-DET,17
45,GTFreeRandom,0,15,GC10-DET,4
45,GTFreeRandom,0,15,NEU-DET,11
45,GTFreeRandom,1,20,GC10-DET,7
45,GTFreeRandom,1,20,NEU-DET,13
45,GTFreeRandom,2,25,GC10-DET,9
45,GTFreeRandom,2,25,NEU-DET,16
45,GTFreeRandom,3,30,GC10-DET,13
45,GTFreeRandom,3,30,NEU-DET,17
45,GTFreeRandom,4,35,GC10-DET,15
45,GTFreeRandom,4,35,NEU-DET,20
46,GTFreeDatasetBalancedConsistency,0,15,GC10-DET,8
46,GTFreeDatasetBalancedConsistency,0,15,NEU-DET,7
46,GTFreeDatasetBalancedConsistency,1,20,GC10-DET,10
46,GTFreeDatasetBalancedConsistency,1,20,NEU-DET,10
46,GTFreeDatasetBalancedConsistency,2,25,GC10-DET,13
46,GTFreeDatasetBalancedConsistency,2,25,NEU-DET,12
46,GTFreeDatasetBalancedConsistency,3,30,GC10-DET,15
46,GTFreeDatasetBalancedConsistency,3,30,NEU-DET,15
46,GTFreeDatasetBalancedConsistency,4,35,GC10-DET,18
46,GTFreeDatasetBalancedConsistency,4,35,NEU-DET,17
46,GTFreeDatasetBalancedVisualDiversity,0,15,GC10-DET,8
46,GTFreeDatasetBalancedVisualDiversity,0,15,NEU-DET,7
46,GTFreeDatasetBalancedVisualDiversity,1,20,GC10-DET,10
46,GTFreeDatasetBalancedVisualDiversity,1,20,NEU-DET,10
46,GTFreeDatasetBalancedVisualDiversity,2,25,GC10-DET,13
46,GTFreeDatasetBalancedVisualDiversity,2,25,NEU-DET,12
46,GTFreeDatasetBalancedVisualDiversity,3,30,GC10-DET,15
46,GTFreeDatasetBalancedVisualDiversity,3,30,NEU-DET,15
46,GTFreeDatasetBalancedVisualDiversity,4,35,GC10-DET,18
46,GTFreeDatasetBalancedVisualDiversity,4,35,NEU-DET,17
46,GTFreeRandom,0,15,GC10-DET,8
46,GTFreeRandom,0,15,NEU-DET,7
46,GTFreeRandom,1,20,GC10-DET,11
46,GTFreeRandom,1,20,NEU-DET,9
46,GTFreeRandom,2,25,GC10-DET,14
46,GTFreeRandom,2,25,NEU-DET,11
46,GTFreeRandom,3,30,GC10-DET,15
46,GTFreeRandom,3,30,NEU-DET,15
46,GTFreeRandom,4,35,GC10-DET,19
46,GTFreeRandom,4,35,NEU-DET,16
