treatment,baseline,acquisition_seed,round,labeled_budget,metric,difference
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,42,0,15,map50,0.0
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,42,0,15,map5095,0.0
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,42,1,20,map50,0.06563699999999997
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,42,1,20,map5095,0.020995
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,42,2,25,map50,-0.07734199999999997
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,42,2,25,map5095,-0.039107999999999976
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,42,3,30,map50,0.02249699999999999
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,42,3,30,map5095,0.013946000000000014
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,42,4,35,map50,0.017918000000000045
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,42,4,35,map5095,0.022854999999999986
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,43,0,15,map50,0.0
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,43,0,15,map5095,0.0
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,43,1,20,map50,0.09810400000000002
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,43,1,20,map5095,0.038203
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,43,2,25,map50,0.021187999999999985
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,43,2,25,map5095,0.0025129999999999875
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,43,3,30,map50,0.014187000000000005
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,43,3,30,map5095,0.015223999999999988
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,43,4,35,map50,0.006533000000000011
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,43,4,35,map5095,-0.008147999999999989
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,44,0,15,map50,0.0
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,44,0,15,map5095,0.0
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,44,1,20,map50,-0.020562999999999998
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,44,1,20,map5095,-0.007980000000000001
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,44,2,25,map50,-0.009104999999999974
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,44,2,25,map5095,-0.007427000000000003
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,44,3,30,map50,-0.03243199999999996
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,44,3,30,map5095,0.003802999999999973
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,44,4,35,map50,-0.022527999999999992
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,44,4,35,map5095,-0.02845700000000001
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,45,0,15,map50,0.0
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,45,0,15,map5095,0.0
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,45,1,20,map50,-0.12197699999999997
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,45,1,20,map5095,-0.06313400000000001
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,45,2,25,map50,-0.12964199999999998
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,45,2,25,map5095,-0.06236799999999999
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,45,3,30,map50,0.03656699999999996
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,45,3,30,map5095,0.004287000000000013
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,45,4,35,map50,-0.030289999999999984
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,45,4,35,map5095,-0.02223
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,46,0,15,map50,0.0
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,46,0,15,map5095,0.0
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,46,1,20,map50,0.040763999999999995
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,46,1,20,map5095,0.024077
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,46,2,25,map50,0.135121
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,46,2,25,map5095,0.059923000000000004
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,46,3,30,map50,-0.05665899999999996
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,46,3,30,map5095,-0.038710999999999995
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,46,4,35,map50,-0.011807999999999985
GTFreeDatasetBalancedVisualDiversity,GTFreeRandom,46,4,35,map5095,-0.0005719999999999892
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,42,0,15,map50,0.0
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,42,0,15,map5095,0.0
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,42,1,20,map50,0.07544499999999998
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,42,1,20,map5095,0.034395999999999996
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,42,2,25,map50,0.04773100000000002
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,42,2,25,map5095,0.023118000000000014
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,42,3,30,map50,-0.006460000000000021
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,42,3,30,map5095,-0.004964999999999997
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,42,4,35,map50,0.05089100000000002
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,42,4,35,map5095,0.02815999999999999
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,43,0,15,map50,0.0
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,43,0,15,map5095,0.0
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,43,1,20,map50,0.01334200000000002
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,43,1,20,map5095,0.00628200000000001
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,43,2,25,map50,0.019845
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,43,2,25,map5095,0.009888999999999981
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,43,3,30,map50,0.036529000000000034
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,43,3,30,map5095,0.011015999999999998
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,43,4,35,map50,0.06628400000000001
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,43,4,35,map5095,0.0006319999999999937
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,44,0,15,map50,0.0
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,44,0,15,map5095,0.0
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,44,1,20,map50,-0.06726400000000002
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,44,1,20,map5095,-0.019627999999999993
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,44,2,25,map50,0.008882000000000001
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,44,2,25,map5095,0.0044410000000000005
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,44,3,30,map50,-0.0005709999999999882
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,44,3,30,map5095,0.016790999999999973
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,44,4,35,map50,0.062081
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,44,4,35,map5095,0.029707999999999984
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,45,0,15,map50,0.0
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,45,0,15,map5095,0.0
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,45,1,20,map50,-0.0009750000000000036
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,45,1,20,map5095,0.0025199999999999945
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,45,2,25,map50,-0.010560000000000014
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,45,2,25,map5095,-0.0025519999999999987
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,45,3,30,map50,0.05880599999999997
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,45,3,30,map5095,0.008261999999999992
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,45,4,35,map50,-0.015054999999999985
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,45,4,35,map5095,0.007766999999999996
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,46,0,15,map50,0.0
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,46,0,15,map5095,0.0
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,46,1,20,map50,0.029627999999999988
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,46,1,20,map5095,0.014699000000000004
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,46,2,25,map50,0.023567999999999978
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,46,2,25,map5095,0.005330000000000001
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,46,3,30,map50,-0.079175
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,46,3,30,map5095,-0.03537599999999999
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,46,4,35,map50,0.014183000000000001
GTFreeDatasetBalancedVisualDiversity,GTFreeDatasetBalancedConsistency,46,4,35,map5095,0.005295999999999995
GTFreeDatasetBalancedConsistency,GTFreeRandom,42,0,15,map50,0.0
GTFreeDatasetBalancedConsistency,GTFreeRandom,42,0,15,map5095,0.0
GTFreeDatasetBalancedConsistency,GTFreeRandom,42,1,20,map50,-0.009808000000000011
GTFreeDatasetBalancedConsistency,GTFreeRandom,42,1,20,map5095,-0.013400999999999996
GTFreeDatasetBalancedConsistency,GTFreeRandom,42,2,25,map50,-0.125073
GTFreeDatasetBalancedConsistency,GTFreeRandom,42,2,25,map5095,-0.06222599999999999
GTFreeDatasetBalancedConsistency,GTFreeRandom,42,3,30,map50,0.02895700000000001
GTFreeDatasetBalancedConsistency,GTFreeRandom,42,3,30,map5095,0.01891100000000001
GTFreeDatasetBalancedConsistency,GTFreeRandom,42,4,35,map50,-0.032972999999999975
GTFreeDatasetBalancedConsistency,GTFreeRandom,42,4,35,map5095,-0.005305000000000004
GTFreeDatasetBalancedConsistency,GTFreeRandom,43,0,15,map50,0.0
GTFreeDatasetBalancedConsistency,GTFreeRandom,43,0,15,map5095,0.0
GTFreeDatasetBalancedConsistency,GTFreeRandom,43,1,20,map50,0.084762
GTFreeDatasetBalancedConsistency,GTFreeRandom,43,1,20,map5095,0.03192099999999999
GTFreeDatasetBalancedConsistency,GTFreeRandom,43,2,25,map50,0.001342999999999983
GTFreeDatasetBalancedConsistency,GTFreeRandom,43,2,25,map5095,-0.007375999999999994
GTFreeDatasetBalancedConsistency,GTFreeRandom,43,3,30,map50,-0.02234200000000003
GTFreeDatasetBalancedConsistency,GTFreeRandom,43,3,30,map5095,0.0042079999999999895
GTFreeDatasetBalancedConsistency,GTFreeRandom,43,4,35,map50,-0.059751
GTFreeDatasetBalancedConsistency,GTFreeRandom,43,4,35,map5095,-0.008779999999999982
GTFreeDatasetBalancedConsistency,GTFreeRandom,44,0,15,map50,0.0
GTFreeDatasetBalancedConsistency,GTFreeRandom,44,0,15,map5095,0.0
GTFreeDatasetBalancedConsistency,GTFreeRandom,44,1,20,map50,0.04670100000000002
GTFreeDatasetBalancedConsistency,GTFreeRandom,44,1,20,map5095,0.011647999999999992
GTFreeDatasetBalancedConsistency,GTFreeRandom,44,2,25,map50,-0.017986999999999975
GTFreeDatasetBalancedConsistency,GTFreeRandom,44,2,25,map5095,-0.011868000000000004
GTFreeDatasetBalancedConsistency,GTFreeRandom,44,3,30,map50,-0.03186099999999997
GTFreeDatasetBalancedConsistency,GTFreeRandom,44,3,30,map5095,-0.012988
GTFreeDatasetBalancedConsistency,GTFreeRandom,44,4,35,map50,-0.08460899999999999
GTFreeDatasetBalancedConsistency,GTFreeRandom,44,4,35,map5095,-0.058164999999999994
GTFreeDatasetBalancedConsistency,GTFreeRandom,45,0,15,map50,0.0
GTFreeDatasetBalancedConsistency,GTFreeRandom,45,0,15,map5095,0.0
GTFreeDatasetBalancedConsistency,GTFreeRandom,45,1,20,map50,-0.12100199999999997
GTFreeDatasetBalancedConsistency,GTFreeRandom,45,1,20,map5095,-0.065654
GTFreeDatasetBalancedConsistency,GTFreeRandom,45,2,25,map50,-0.11908199999999997
GTFreeDatasetBalancedConsistency,GTFreeRandom,45,2,25,map5095,-0.059815999999999994
GTFreeDatasetBalancedConsistency,GTFreeRandom,45,3,30,map50,-0.02223900000000001
GTFreeDatasetBalancedConsistency,GTFreeRandom,45,3,30,map5095,-0.0039749999999999786
GTFreeDatasetBalancedConsistency,GTFreeRandom,45,4,35,map50,-0.015234999999999999
GTFreeDatasetBalancedConsistency,GTFreeRandom,45,4,35,map5095,-0.029996999999999996
GTFreeDatasetBalancedConsistency,GTFreeRandom,46,0,15,map50,0.0
GTFreeDatasetBalancedConsistency,GTFreeRandom,46,0,15,map5095,0.0
GTFreeDatasetBalancedConsistency,GTFreeRandom,46,1,20,map50,0.011136000000000007
GTFreeDatasetBalancedConsistency,GTFreeRandom,46,1,20,map5095,0.009377999999999997
GTFreeDatasetBalancedConsistency,GTFreeRandom,46,2,25,map50,0.11155300000000001
GTFreeDatasetBalancedConsistency,GTFreeRandom,46,2,25,map5095,0.054593
GTFreeDatasetBalancedConsistency,GTFreeRandom,46,3,30,map50,0.022516000000000036
GTFreeDatasetBalancedConsistency,GTFreeRandom,46,3,30,map5095,-0.0033350000000000046
GTFreeDatasetBalancedConsistency,GTFreeRandom,46,4,35,map50,-0.025990999999999986
GTFreeDatasetBalancedConsistency,GTFreeRandom,46,4,35,map5095,-0.005867999999999984
