acquisition_seed,strategy,round,dataset_type,image_name,sample_id,rank_in_selection,min_cosine_distance_to_labeled_before_selection,num_reference_labeled_before_selection
42,GTFreeDatasetBalancedConsistency,1,GC10-DET,img_07_4405381400_00773.jpg,4a4b401c43dc80320554bdeb7644c970fdb9e5eb74f6ae9da2a4114b9287956c,1,0.23586678504943848,15
42,GTFreeDatasetBalancedConsistency,1,NEU-DET,scratches_219.jpg,55360319c9781b3cc3bb9be3113cff08077929359c0da0624ac5fe4ca4bedc85,2,0.3556057810783386,15
42,GTFreeDatasetBalancedConsistency,1,GC10-DET,img_07_4405376700_00809.jpg,5755975903f09526605d14f4dc24d84c40bc85b86d2649abbdd6f6db9ad54cf2,3,0.19670766592025757,15
42,GTFreeDatasetBalancedConsistency,1,GC10-DET,img_06_3436642500_00002.jpg,5ff33e9f33908e878836d877c303ac462a40d7c83a35837ae493e136bd5d2392,4,0.21338796615600586,15
42,GTFreeDatasetBalancedConsistency,1,GC10-DET,img_07_4405376700_00815.jpg,e9594c1ac2f08c1c06dea91c494efc69552aced1d213fa5145ff388d0ded06a9,5,0.3252371549606323,15
42,GTFreeDatasetBalancedConsistency,2,NEU-DET,rolled-in_scale_24.jpg,02f3b5570a576ced7184f753619c8bb543be7b96aa48c3711388f2c5ee0470de,1,0.09588074684143066,20
42,GTFreeDatasetBalancedConsistency,2,GC10-DET,img_04_4402117000_00004.jpg,55a602b5491e7d096e7dc4666a19ca720c9b67100aade5b38b786e2a660da824,2,0.33615297079086304,20
42,GTFreeDatasetBalancedConsistency,2,GC10-DET,img_07_4405965200_00151.jpg,994170777421dbd37b2d3dffe39679e66687454d230dead551efec30e8077b8a,3,0.2864111661911011,20
42,GTFreeDatasetBalancedConsistency,2,NEU-DET,pitted_surface_162.jpg,b51e0ee043a80bf729f3481c61c2720badffaa7233bc9d032b52246a5909982a,4,0.2875756025314331,20
42,GTFreeDatasetBalancedConsistency,2,GC10-DET,img_06_4406783500_00003.jpg,f68cd9708e95fe8ae996c2014b32f1d8fac82b6bd74ecf6a1095ecfcced35a5d,5,0.34336161613464355,20
42,GTFreeDatasetBalancedConsistency,3,NEU-DET,patches_22.jpg,39af694678f7c24b0c741ea09983c646bc24e7944d60286d34518fd19202e649,1,0.3968009352684021,25
42,GTFreeDatasetBalancedConsistency,3,GC10-DET,img_06_430103100_01150.jpg,4222407b70c72e45c4027aaefa65fed585ede1e429125a9d5c244c56e5f80d7f,2,0.25585561990737915,25
42,GTFreeDatasetBalancedConsistency,3,GC10-DET,img_01_4402116900_00003.jpg,4c1a85444ce91b60c8af5b22565a198b0bbc3cc981dc82c8ba25740ddf8baf36,3,0.17916518449783325,25
42,GTFreeDatasetBalancedConsistency,3,NEU-DET,scratches_147.jpg,9bc9d64d72c17cc718188ca1622d66f97c064228bbc7f868eae03ca779904a94,4,0.35135823488235474,25
42,GTFreeDatasetBalancedConsistency,3,NEU-DET,scratches_225.jpg,a1c77ccb488348690c051d41fc11123adac3c2bfc433c7da409d8a1fe0f4c4fd,5,0.2915049195289612,25
42,GTFreeDatasetBalancedConsistency,4,NEU-DET,pitted_surface_214.jpg,032433ae2b7256a0e41bbc632dd525683a4b0191b571d3680b30dab524f5c7db,1,0.28016167879104614,30
42,GTFreeDatasetBalancedConsistency,4,GC10-DET,img_01_4403690400_00005.jpg,0655c6df1f9c029a47e7358bf07908da74a3fd2464aa167aa14b33386fe9ad8a,2,0.22457146644592285,30
42,GTFreeDatasetBalancedConsistency,4,GC10-DET,img_05_4405381400_00774.jpg,5613db10f3f8623bc3b82962a11bb2244d022ede6d414c8d97300fb235e807f4,3,0.28091156482696533,30
42,GTFreeDatasetBalancedConsistency,4,NEU-DET,crazing_75.jpg,75e5bdb2288717e24c3b19ad246be5cb1a7fa0c42a39a33450d49060068466eb,4,0.24517834186553955,30
42,GTFreeDatasetBalancedConsistency,4,GC10-DET,img_05_4402826400_01261.jpg,bbdf47c63eaa67bd3f0c175dbe10da3aa7088a9cad8d2cbbf585c3c4966f6280,5,0.3567781448364258,30
42,GTFreeDatasetBalancedVisualDiversity,1,GC10-DET,img_05_4405228100_00452.jpg,01f3a7aac37da1e51d63d7e6f4105ed96ea6f31d353f7923adec4e6226b45c9f,1,0.42821812629699707,15
42,GTFreeDatasetBalancedVisualDiversity,1,GC10-DET,img_01_4402117200_00003.jpg,34b38bf2c6dcd0949c9841e3d6e7c27161e53c973bd3fab66dd139bc62163391,2,0.396024227142334,15
42,GTFreeDatasetBalancedVisualDiversity,1,NEU-DET,patches_228.jpg,d78d7eef3504015dd331c8bcc580dd3e3bb12b22130265f8d55f8e228b0b8f30,3,0.4277195930480957,15
42,GTFreeDatasetBalancedVisualDiversity,1,GC10-DET,img_05_4403831800_00930.jpg,dccfd6d97fdacbccfe74f38ee3a475d13988146885a0c2517a0c41a984b1dd1c,4,0.5346537828445435,15
42,GTFreeDatasetBalancedVisualDiversity,1,GC10-DET,img_04_4402766700_00007.jpg,e298d10b8ccaacace08f1b05989005d970d13de3e8a57f2bd77a08661b68faf8,5,0.41976940631866455,15
42,GTFreeDatasetBalancedVisualDiversity,2,NEU-DET,scratches_219.jpg,55360319c9781b3cc3bb9be3113cff08077929359c0da0624ac5fe4ca4bedc85,1,0.3556058406829834,20
42,GTFreeDatasetBalancedVisualDiversity,2,GC10-DET,img_01_425382900_00002.jpg,967af2c1381591479c095347c0421ad2751eaba7397d14229eee5a589b79748c,2,0.39015066623687744,20
42,GTFreeDatasetBalancedVisualDiversity,2,GC10-DET,img_07_4405965200_00151.jpg,994170777421dbd37b2d3dffe39679e66687454d230dead551efec30e8077b8a,3,0.37079691886901855,20
42,GTFreeDatasetBalancedVisualDiversity,2,GC10-DET,img_05_4402826400_01261.jpg,bbdf47c63eaa67bd3f0c175dbe10da3aa7088a9cad8d2cbbf585c3c4966f6280,4,0.3567781448364258,20
42,GTFreeDatasetBalancedVisualDiversity,2,NEU-DET,scratches_184.jpg,fdea6e377619e0dac2455ceb42bd32fca131e2e82641e18461f498c58c582ca1,5,0.38529741764068604,20
42,GTFreeDatasetBalancedVisualDiversity,3,GC10-DET,img_04_4401672100_00003.jpg,169b17e6914e129d16eddde8ffae839ae26f81d83089d56f30c3916e8876a2df,1,0.3467872142791748,25
42,GTFreeDatasetBalancedVisualDiversity,3,NEU-DET,scratches_147.jpg,9bc9d64d72c17cc718188ca1622d66f97c064228bbc7f868eae03ca779904a94,2,0.3217664957046509,25
42,GTFreeDatasetBalancedVisualDiversity,3,NEU-DET,inclusion_154.jpg,c9dc287614239feda81c4fda63bff79f8ce8f0cf201ac707b84b3c62aef95d12,3,0.31619733572006226,25
42,GTFreeDatasetBalancedVisualDiversity,3,NEU-DET,crazing_231.jpg,cdbe260c5627aae3eac748c1fa4c40a6d0d260192b55c0eb93912da838089f7b,4,0.3309869170188904,25
42,GTFreeDatasetBalancedVisualDiversity,3,GC10-DET,img_07_427199900_01135.jpg,e366f2a7d97eb94e612539f4eac6a61c1977c6ef04d2ac4a57c5f7c8d4c58ab6,5,0.3476552963256836,25
42,GTFreeDatasetBalancedVisualDiversity,4,GC10-DET,img_06_430103100_01149.jpg,1e895317eed92d24e2c8b4017552dbb8b07595bec95be93684a987f332165e41,1,0.3462866544723511,30
42,GTFreeDatasetBalancedVisualDiversity,4,GC10-DET,img_02_3436789500_00005.jpg,5cd00d5a6c1ef72083cc18c221bd9e8810f2c9f81344222d687ea8aafea98fe6,2,0.34425127506256104,30
42,GTFreeDatasetBalancedVisualDiversity,4,NEU-DET,pitted_surface_200.jpg,638ec352794dc5f4efbd4c151c78d01e384b2946aeb6b48c4393d4780eface2c,3,0.30434322357177734,30
42,GTFreeDatasetBalancedVisualDiversity,4,NEU-DET,patches_214.jpg,8c146502679593c484375d38dd62d22c6b4db1bf3be89a5e866a15fa746f5264,4,0.3133840560913086,30
42,GTFreeDatasetBalancedVisualDiversity,4,GC10-DET,img_01_4402270500_00004.jpg,fb1603839e56514590a387d61cb95955b53f66baa77e50089fc88ea4fcc7ad71,5,0.3410422205924988,30
42,GTFreeRandom,1,GC10-DET,img_01_3436789500_00004.jpg,04a6f4e7221ebcc74a24e90c8b9e8b8787f61296a7dd73f52c3af3f61291149e,1,0.2514212131500244,15
42,GTFreeRandom,1,GC10-DET,img_02_3436789500_00005.jpg,5cd00d5a6c1ef72083cc18c221bd9e8810f2c9f81344222d687ea8aafea98fe6,2,0.34425127506256104,15
42,GTFreeRandom,1,NEU-DET,scratches_153.jpg,67c2985179443d24c14ccec8e29944f9d04a6331e9375b4117c2dae52d65b556,3,0.2733597755432129,15
42,GTFreeRandom,1,NEU-DET,inclusion_183.jpg,8f59c264bc14f908792011ef8df8ffc073eb6ecf9216d3ddf7472f1060ca452c,4,0.13582217693328857,15
42,GTFreeRandom,1,NEU-DET,scratches_184.jpg,fdea6e377619e0dac2455ceb42bd32fca131e2e82641e18461f498c58c582ca1,5,0.38529741764068604,15
42,GTFreeRandom,2,NEU-DET,crazing_49.jpg,02a64523295cef8b60b02151a416532c5dfaaa66f473adf89b1b25640df1bfa1,1,0.2169497013092041,20
42,GTFreeRandom,2,NEU-DET,patches_22.jpg,39af694678f7c24b0c741ea09983c646bc24e7944d60286d34518fd19202e649,2,0.42296504974365234,20
42,GTFreeRandom,2,GC10-DET,img_01_4402270500_00003.jpg,463aec154e35f1327f48d39ddcd7b3c8ac96e8d38ee6258139a556c16f1c0f31,3,0.15212523937225342,20
42,GTFreeRandom,2,NEU-DET,crazing_219.jpg,a39d4d10837d9ffc5f81ebb56868d1576c65772e45bb2652a01bd44fbe65c248,4,0.2637555003166199,20
42,GTFreeRandom,2,NEU-DET,inclusion_140.jpg,b4ff375e95ade8b250f482b7f07a61bbd920852b0a6d166218ebbb72a21dc86d,5,0.2769585847854614,20
42,GTFreeRandom,3,NEU-DET,inclusion_70.jpg,3209dd200e3709e16bb491358295885b1bd13dbb4918ebf32f91ae2541a54e03,1,0.1714874505996704,25
42,GTFreeRandom,3,GC10-DET,img_06_427199900_01016.jpg,57eaf3a10b1a82db3045b4a4e49644e0e838452b799f7c5b2ef3fac3bf7f9d15,2,0.18239128589630127,25
42,GTFreeRandom,3,NEU-DET,pitted_surface_200.jpg,638ec352794dc5f4efbd4c151c78d01e384b2946aeb6b48c4393d4780eface2c,3,0.30434322357177734,25
42,GTFreeRandom,3,NEU-DET,patches_214.jpg,8c146502679593c484375d38dd62d22c6b4db1bf3be89a5e866a15fa746f5264,4,0.2711319923400879,25
42,GTFreeRandom,3,GC10-DET,img_05_4403831800_00930.jpg,dccfd6d97fdacbccfe74f38ee3a475d13988146885a0c2517a0c41a984b1dd1c,5,0.5346538424491882,25
42,GTFreeRandom,4,NEU-DET,crazing_225.jpg,089bfecb9772dc1d7d7a3a7bdb1b96f52a0742d2d54e8419cbd178247f198a5a,1,0.10205471515655518,30
42,GTFreeRandom,4,GC10-DET,img_01_4402117200_00003.jpg,34b38bf2c6dcd0949c9841e3d6e7c27161e53c973bd3fab66dd139bc62163391,2,0.396024227142334,30
42,GTFreeRandom,4,GC10-DET,img_07_4405381400_00779.jpg,9529fe9ae94760df15a745fab5bbdf523a9f07f37a6ed6af69bdbcf614a7cf59,3,0.2653602361679077,30
42,GTFreeRandom,4,GC10-DET,img_05_4402826400_01261.jpg,bbdf47c63eaa67bd3f0c175dbe10da3aa7088a9cad8d2cbbf585c3c4966f6280,4,0.3567781448364258,30
42,GTFreeRandom,4,NEU-DET,crazing_231.jpg,cdbe260c5627aae3eac748c1fa4c40a6d0d260192b55c0eb93912da838089f7b,5,0.2738493084907532,30
43,GTFreeDatasetBalancedConsistency,1,NEU-DET,rolled-in_scale_24.jpg,02f3b5570a576ced7184f753619c8bb543be7b96aa48c3711388f2c5ee0470de,1,0.3067963123321533,15
43,GTFreeDatasetBalancedConsistency,1,NEU-DET,scratches_11.jpg,25ba78a47385e69a7b6bf5a04f143c9ea90594c8c7a2bb3562b2fd4525dafa6d,2,0.5048930644989014,15
43,GTFreeDatasetBalancedConsistency,1,NEU-DET,scratches_219.jpg,55360319c9781b3cc3bb9be3113cff08077929359c0da0624ac5fe4ca4bedc85,3,0.35222506523132324,15
43,GTFreeDatasetBalancedConsistency,1,NEU-DET,pitted_surface_189.jpg,9b357a5a3249eb7af16bbf8cae7f7f75bab8303b44b920c744ce416860939bc8,4,0.28016167879104614,15
43,GTFreeDatasetBalancedConsistency,1,NEU-DET,pitted_surface_162.jpg,b51e0ee043a80bf729f3481c61c2720badffaa7233bc9d032b52246a5909982a,5,0.3318871855735779,15
43,GTFreeDatasetBalancedConsistency,2,NEU-DET,patches_22.jpg,39af694678f7c24b0c741ea09983c646bc24e7944d60286d34518fd19202e649,1,0.18729877471923828,20
43,GTFreeDatasetBalancedConsistency,2,GC10-DET,img_07_4405381400_00773.jpg,4a4b401c43dc80320554bdeb7644c970fdb9e5eb74f6ae9da2a4114b9287956c,2,0.16545873880386353,20
43,GTFreeDatasetBalancedConsistency,2,GC10-DET,img_07_4405376700_00809.jpg,5755975903f09526605d14f4dc24d84c40bc85b86d2649abbdd6f6db9ad54cf2,3,0.12626683712005615,20
43,GTFreeDatasetBalancedConsistency,2,GC10-DET,img_06_3436642500_00002.jpg,5ff33e9f33908e878836d877c303ac462a40d7c83a35837ae493e136bd5d2392,4,0.19193434715270996,20
43,GTFreeDatasetBalancedConsistency,2,NEU-DET,scratches_147.jpg,9bc9d64d72c17cc718188ca1622d66f97c064228bbc7f868eae03ca779904a94,5,0.2992899417877197,20
43,GTFreeDatasetBalancedConsistency,3,NEU-DET,crazing_225.jpg,089bfecb9772dc1d7d7a3a7bdb1b96f52a0742d2d54e8419cbd178247f198a5a,1,0.32976043224334717,25
43,GTFreeDatasetBalancedConsistency,3,GC10-DET,img_04_4402117000_00004.jpg,55a602b5491e7d096e7dc4666a19ca720c9b67100aade5b38b786e2a660da824,2,0.3602027893066406,25
43,GTFreeDatasetBalancedConsistency,3,NEU-DET,crazing_75.jpg,75e5bdb2288717e24c3b19ad246be5cb1a7fa0c42a39a33450d49060068466eb,3,0.28425490856170654,25
43,GTFreeDatasetBalancedConsistency,3,GC10-DET,img_07_4405965200_00151.jpg,994170777421dbd37b2d3dffe39679e66687454d230dead551efec30e8077b8a,4,0.2864111661911011,25
43,GTFreeDatasetBalancedConsistency,3,NEU-DET,scratches_225.jpg,a1c77ccb488348690c051d41fc11123adac3c2bfc433c7da409d8a1fe0f4c4fd,5,0.2915049195289612,25
43,GTFreeDatasetBalancedConsistency,4,NEU-DET,crazing_49.jpg,02a64523295cef8b60b02151a416532c5dfaaa66f473adf89b1b25640df1bfa1,1,0.10205471515655518,30
43,GTFreeDatasetBalancedConsistency,4,GC10-DET,img_01_4402116900_00003.jpg,4c1a85444ce91b60c8af5b22565a198b0bbc3cc981dc82c8ba25740ddf8baf36,2,0.17916518449783325,30
43,GTFreeDatasetBalancedConsistency,4,GC10-DET,img_05_4405381400_00774.jpg,5613db10f3f8623bc3b82962a11bb2244d022ede6d414c8d97300fb235e807f4,3,0.22833704948425293,30
43,GTFreeDatasetBalancedConsistency,4,NEU-DET,pitted_surface_228.jpg,c3237de0b500293bb047ddc700a6a960e4ef3cb5d9f957755b902042b3af73c7,4,0.25528573989868164,30
43,GTFreeDatasetBalancedConsistency,4,GC10-DET,img_06_4406783500_00003.jpg,f68cd9708e95fe8ae996c2014b32f1d8fac82b6bd74ecf6a1095ecfcced35a5d,5,0.45300495624542236,30
43,GTFreeDatasetBalancedVisualDiversity,1,NEU-DET,scratches_11.jpg,25ba78a47385e69a7b6bf5a04f143c9ea90594c8c7a2bb3562b2fd4525dafa6d,1,0.5048930644989014,15
43,GTFreeDatasetBalancedVisualDiversity,1,NEU-DET,rolled-in_scale_205.jpg,53d148ae53159cfa698a7294a57b1a2d8c5556f3e1d28dbebb49fbdff49964fd,2,0.43153661489486694,15
43,GTFreeDatasetBalancedVisualDiversity,1,NEU-DET,scratches_219.jpg,55360319c9781b3cc3bb9be3113cff08077929359c0da0624ac5fe4ca4bedc85,3,0.35222506523132324,15
43,GTFreeDatasetBalancedVisualDiversity,1,NEU-DET,patches_162.jpg,5c9a4ea4b87f292bd33dc675d1e6b20eb25141e16b088e6209e22615df86a981,4,0.4219478368759155,15
43,GTFreeDatasetBalancedVisualDiversity,1,NEU-DET,crazing_231.jpg,cdbe260c5627aae3eac748c1fa4c40a6d0d260192b55c0eb93912da838089f7b,5,0.4128608703613281,15
43,GTFreeDatasetBalancedVisualDiversity,2,GC10-DET,img_05_4405228100_00452.jpg,01f3a7aac37da1e51d63d7e6f4105ed96ea6f31d353f7923adec4e6226b45c9f,1,0.48638296127319336,20
43,GTFreeDatasetBalancedVisualDiversity,2,GC10-DET,img_06_430103100_01149.jpg,1e895317eed92d24e2c8b4017552dbb8b07595bec95be93684a987f332165e41,2,0.478629469871521,20
43,GTFreeDatasetBalancedVisualDiversity,2,NEU-DET,pitted_surface_200.jpg,638ec352794dc5f4efbd4c151c78d01e384b2946aeb6b48c4393d4780eface2c,3,0.33442866802215576,20
43,GTFreeDatasetBalancedVisualDiversity,2,NEU-DET,pitted_surface_162.jpg,b51e0ee043a80bf729f3481c61c2720badffaa7233bc9d032b52246a5909982a,4,0.3318871855735779,20
43,GTFreeDatasetBalancedVisualDiversity,2,GC10-DET,img_04_4402766700_00007.jpg,e298d10b8ccaacace08f1b05989005d970d13de3e8a57f2bd77a08661b68faf8,5,0.5049266815185547,20
43,GTFreeDatasetBalancedVisualDiversity,3,GC10-DET,img_01_4403690400_00005.jpg,0655c6df1f9c029a47e7358bf07908da74a3fd2464aa167aa14b33386fe9ad8a,1,0.46399450302124023,25
43,GTFreeDatasetBalancedVisualDiversity,3,GC10-DET,img_01_4402117200_00003.jpg,34b38bf2c6dcd0949c9841e3d6e7c27161e53c973bd3fab66dd139bc62163391,2,0.396024227142334,25
43,GTFreeDatasetBalancedVisualDiversity,3,NEU-DET,scratches_39.jpg,5ea54ad8be039dcc2f55ce5d2f429b985800d1de5a95030f46ee4c229b048091,3,0.30627357959747314,25
43,GTFreeDatasetBalancedVisualDiversity,3,NEU-DET,rolled-in_scale_239.jpg,8e311a7b62d3ea8defe3a13129f6d1e903612173eb37216769c03ce8532d3722,4,0.3097384572029114,25
43,GTFreeDatasetBalancedVisualDiversity,3,NEU-DET,scratches_147.jpg,9bc9d64d72c17cc718188ca1622d66f97c064228bbc7f868eae03ca779904a94,5,0.2992899417877197,25
43,GTFreeDatasetBalancedVisualDiversity,4,GC10-DET,img_02_3436789500_00005.jpg,5cd00d5a6c1ef72083cc18c221bd9e8810f2c9f81344222d687ea8aafea98fe6,1,0.3529623746871948,30
43,GTFreeDatasetBalancedVisualDiversity,4,GC10-DET,img_01_425382900_00002.jpg,967af2c1381591479c095347c0421ad2751eaba7397d14229eee5a589b79748c,2,0.37755870819091797,30
