evidence_id,research_question,dataset,protocol,strategy,metric,value,uncertainty,gate,result,evidence_status,inferential_unit,allowed_claim,prohibited_claim,source_file,source_row_or_key,verified
E001,Does VLM consistency track groundedness?,GC10-DET; NEU-DET,legacy validity audit,semantic consistency,Spearman consistency vs groundedness,-0.1811991161,"bootstrap 95% CI [-0.389654, 0.036410]",rho>=0.20 and CI low>0,FAIL,confirmatory_negative,image (n=95),Expected positive relation was not observed.,Consistency is epistemic uncertainty.,runs/vlm_consistency_groundedness_validity/legacy_pilot_audit_20260715_main/legacy_validity_metrics.csv,scope=overall; metric=spearman_consistency_vs_groundedness,True
E002,Does inconsistency detect severe failure?,GC10-DET; NEU-DET,legacy validity audit,1-consistency,AUC severe failure,0.3734329797,"bootstrap 95% CI [0.246360, 0.508573]",AUC>=0.60 and CI low>0.50,FAIL,confirmatory_negative,image (n=95),The frozen severe-failure endpoint failed.,Inconsistency detects failure.,runs/vlm_consistency_groundedness_validity/legacy_pilot_audit_20260715_main/legacy_validity_metrics.csv,metric=inconsistency_auc_severe_failure,True
E003,Can structured prompts produce grounded evidence?,GC10-DET,structured pilot20,structured VLM,schema completeness,0.01,n=20 images; 100 responses,>=0.90,FAIL,confirmatory_negative,image,Structured output validity collapsed.,Structured prompting restores validity.,runs/vlm_consistency_groundedness_validity/structured_prompt_pilot20_gc10_20260715/groundedness_audit/structured_groundedness_metrics.csv,metric=mean_schema_complete_response_rate,True
E004,Does oracle cropping restore grounded defect evidence?,GC10-DET,oracle crop20,Qwen2-VL,positive presence/evidence/median IoU,0 / 0 / 0,20 positive crops,presence>=0.50; evidence>=0.70,FAIL,confirmatory_negative,crop image,Failure persisted in an easier oracle condition.,Full-image context was the sole failure cause.,runs/vlm_consistency_groundedness_validity/oracle_crop_diagnostic20_gc10_20260715/oracle_crop_audit/oracle_crop_diagnostic_metrics.csv,positive_presence_rate; defect_evidence_rate; median_bbox_iou,True
E005,Does another small Qwen model restore compliance and grounding?,GC10-DET,3-model paired comparison,Qwen2/Qwen3/Qwen2.5,models passing frozen gate,0,3 models x 40 paired views,all paired checks,FAIL,confirmatory_negative,paired view within model,Different collapse modes were observed; none passed.,A model swap solved VLM grounding.,runs/vlm_consistency_groundedness_validity/paired_model_comparison_gc10_20260715/comparison/paired_model_gate_comparison.csv,gate_pass=False for 3/3,True
E006,Is Random weak in balanced large pools?,NEU-DET,V10c24 Random audit,GTFreeRandom,class/instance/bbox selection properties,not weak,post-hoc audited selected sets,audit,SUPPORTED_BASELINE,partially_supported,selected set,Random provided broad coverage and richness in this protocol.,Random is universally optimal.,runs/random_baseline_audit_v10c24/random_baseline_audit_20260713_225216/random_baseline_audit_summary.md,summary conclusion,True
E007,Does V10c24 scale at round2 budget120?,NEU-DET,seed51 round2,V10c24,mAP50-95 difference vs Random,-0.0048630617,single acquisition realization,six frozen scale checks,FAIL,confirmatory_negative,acquisition realization,The scale extension failed.,The selector scales to budget120.,runs/active_learning_v10c24_round2_scale_smoke/v10c24_round2_scale_smoke_20260713_225326/recovered_v10c24_round2_scale_smoke_summary.md,round2 mAP50-95 difference,True
E008,Is the seed45 fixed selected set stable to training seed?,NEU-DET,1 set x 5 train seeds,Visual20,mAP50-95 difference,0.0162356649,"5/5 wins; descriptive CI approx [0.006738,0.027864]",fixed-set gate,PASS_DIAGNOSTIC,descriptive_positive,training seed conditional on one set,One fixed set had a stable learner effect.,Selector generalization was established.,runs/seed45_fixed_set_stability/seed45_fixed_set_stability_main/screen_gate.csv,treatment=Visual20,True
E009,Does seed45 effect generalize to new acquisition sets?,NEU-DET,10 acquisition seeds,Visual diversity,mAP50-95 difference,0.0070187,"CI [-0.005211,0.019678]; p=0.322266; 7/10 wins",gain>=0.01; p<=0.05; recall safety,FAIL,confirmatory_negative,acquisition seed,Acquisition-set generalization failed.,Cold-start DINO superiority was confirmed.,runs/active_learning_v8_cold_start_confirmation/v8_cold_start_visual_confirm_main/confirmatory_gate.csv,primary paired mAP row,True
E010,Does GC10 DINO improve rare discovery?,GC10-DET,initial20/query20; 200 paired seeds,FrozenDINOVisualDiversity,rare images gain vs Random,2.72,"paired seed CI [2.455,2.980]; positive=0.88",selection-only 11 checks,PASS_SELECTION,partially_supported,acquisition seed/leave-20 pool,Rare discovery increased in the fixed benchmark.,Detector utility or production generalization improved.,runs/stratified_condition_robustness_20260718/stratified_effect_summary.csv,dataset=GC10-DET; stratum=all,True
E011,Does GC10 discovery preserve taxonomy composition?,GC10-DET,initial20/query20; 200 paired seeds,FrozenDINOVisualDiversity,combined unique classes delta,0.825,paired records,selection safety,PASS_SELECTION,partially_supported,acquisition seed/leave-20 pool,Taxonomy coverage increased in this selection endpoint.,Coverage equals learning utility.,runs/stratified_condition_robustness_20260718/stratified_effect_summary.csv,coverage_delta,True
E012,Does MPDD DINO improve anomaly discovery?,MPDD,initial20/query20; 200 paired seeds,FrozenCategoryBalancedDINO,anomaly image gain,6.245,"paired seed CI [5.885,6.605]; positive=0.985",category delta>=-0.25,FAIL_SAFETY,descriptive_positive,acquisition seed/leave-20 pool,Anomaly discovery increased while safety failed.,MPDD selector passed or improved downstream utility.,runs/stratified_condition_robustness_20260718/stratified_effect_summary.csv,dataset=MPDD; primary selector,True
E013,What composition change accompanies MPDD discovery?,MPDD,same frozen selections,FrozenCategoryBalancedDINO,category coverage delta,-0.325,200 paired seeds,category safety,FAIL,confirmatory_negative,acquisition seed,Category safety threshold failed.,Discovery was composition-neutral.,runs/stratified_condition_robustness_20260718/stratified_effect_summary.csv,coverage_delta,True
E014,How much MPDD gain aligns with official-test source?,MPDD,source-origin audit,FrozenCategoryBalancedDINO,source-composition contribution,67.3%,descriptive decomposition,not a causal gate,DESCRIPTIVE,descriptive_positive,fixed dataset decomposition,Source composition is a major confound.,Source causes the full anomaly gain.,docs/stratified_condition_robustness_decision_20260718.md,MPDD dataset results,True
E015,Does VisA DINO improve anomaly discovery?,VisA,initial20/query20; 200 paired seeds,FrozenDINOVisualDiversity,anomaly image gain,14.48,"paired seed CI [14.195,14.770]; positive=1.0",category safety,FAIL_SAFETY,descriptive_positive,acquisition seed/leave-20 pool,Discovery increased in all paired seeds.,The selector was safe or useful for learning.,runs/stratified_condition_robustness_20260718/stratified_effect_summary.csv,dataset=VisA; stratum=all,True
E016,What safety cost accompanies VisA discovery?,VisA,same frozen selections,FrozenDINOVisualDiversity,object-category coverage delta,-4.11,200/200 gain-positive+safety-loss,category coverage not worse,FAIL,confirmatory_negative,acquisition seed,Category collapse accompanied the gain.,Anomaly discovery implies category safety.,runs/stratified_condition_robustness_20260718/stratified_effect_summary.csv,coverage_delta,True
E017,Does GC10 q20 selection translate to detector utility?,GC10-DET,5 acquisitions x 3 train seeds,Frozen DINO vs Random,overall mAP50-95 delta,0.0173784069,5 acquisition units; development,mAP and rare safety jointly,FAIL,partially_supported,acquisition seed,Overall mAP rose in this protocol only.,The downstream gate passed.,runs/gc10_detector_confirmation/gc10_dev_confirm_5acq_3train_20260715/detector_acquisition_seed_summary.csv,overall paired difference,True
E018,Does GC10 q20 protect rare utility?,GC10-DET,same detector confirmation,Frozen DINO vs Random,rare macro AP50-95 delta,-0.0198767455,classes 8/9/10; development,rare gain>=0.020,FAIL,confirmatory_negative,acquisition seed,Rare-class utility declined.,Overall mAP gain implies rare safety.,runs/gc10_detector_confirmation/gc10_dev_confirm_5acq_3train_20260715/detector_class_group_macro_summary.csv,rare macro paired difference,True
E019,Does K40 reduce taxonomy omission?,GC10-DET,budget140 holdout; 200 seeds,DINOClusterCoverageK40,all-class rate,0.955,Random=0.940,holdout coverage gate,PASS_SELECTION,partially_supported,acquisition seed/leave-140 pool,K40 reduced zero-coverage risk.,K40 improves detector learning.,runs/dcal_xai/v2_budget_extended/budget_summary.csv,split=holdout; strategy=DINOClusterCoverageK40,True
E020,Does K40 coverage translate to mAP?,GC10-DET,5 acquisitions x 3 train seeds,K40/140 vs Random140,mAP50-95 delta,-0.0016777446,"bootstrap CI [-0.017424,0.018332]",downstream screen,FAIL,confirmatory_negative,acquisition seed,Coverage did not translate to overall utility.,K40 is noninferior or superior.,runs/dcal_xai/v2_backbone_main/v8n_screen_contrasts.csv,metric=map5095,True
E021,Does K40 protect rare AP?,GC10-DET,same screen,K40/140 vs Random140,rare macro AP delta,-0.0182895351,classes 8/9/10,rare noninferiority,FAIL,confirmatory_negative,acquisition seed,Rare AP declined.,Coverage ensures rare-class utility.,runs/dcal_xai/v2_backbone_main/v8n_screen_decision.json,contrasts.rare_macro_ap5095_difference,True
E022,Does K40 protect recall?,GC10-DET,same screen,K40/140 vs Random140,recall delta,-0.0218708249,5 acquisition units,recall noninferiority,FAIL,confirmatory_negative,acquisition seed,Recall declined.,Coverage ensures recall safety.,runs/dcal_xai/v2_backbone_main/v8n_screen_contrasts.csv,metric=recall,True
E023,Can label-aware global retrieval recover class 8?,GC10-DET,"1,000 frozen replay states",nearest target exemplar,class8 top1 hit,0.1538461538,351 class8 states; 130 seeds,top1>=0.50 plus six checks,FAIL,confirmatory_negative,frozen replay state,Global representation branch was not recovered.,Label-aware retrieval solved local defect representation.,runs/gc10_discovery_representation_audit/gc10_d2r_200seed_20260715/label_aware_retrieval_audit/label_aware_class8_summary.csv,method=nearest_target_exemplar,True
E024,Is flip disagreement a safe detector difficulty signal?,GC10-DET,DCAL-XAI R1; 5 seeds,DetectorDifficultyDiversity,query instance delta,-2.2,"bootstrap CI [-5.2,0.8]",instance noninferiority,FAIL,confirmatory_negative,acquisition seed,Geometry-dominated selection failed a safety gate.,Flip disagreement is epistemic uncertainty.,runs/dcal_xai/gc10_r1/selection_comparisons.csv,metric=query_instances,True
E025,Does V2.3 provide actionable total-error enrichment?,GC10-DET,15 frozen checkpoints; 232 development images,ensemble combined uncertainty,top20% total-error enrichment,1.1159008048,"bootstrap CI [1.034640,1.221093]",>=1.50,FAIL,confirmatory_negative,acquisition realization (n=5),The ranking was above chance but operational effect size was insufficient.,V2.3 AL signal passed.,runs/dcal_xai/v2_detector_signal_validity/signal_validity_summary.csv,signal=ensemble_combined_uncertainty,True
E026,Does V2.3 rank majority error?,GC10-DET,same V2.3 audit,ensemble combined uncertainty,majority-error AUROC,0.7664320783,5/5 acquisition seeds >0.5,>=0.65,PASS_COMPONENT,partially_supported,acquisition realization,Above-chance ranking does not equal top-budget utility.,AUROC alone validates AL utility.,runs/dcal_xai/v2_detector_signal_validity/signal_validity_summary.csv,signal=ensemble_combined_uncertainty; auroc_mean,True
E027,Does V2.3 enrich false negatives?,GC10-DET,same reused development audit,ensemble combined uncertainty,FN enrichment,1.3796926705,secondary endpoint,not preregistered primary,HYPOTHESIS_ONLY,exploratory_only,acquisition realization,Motivates a future untouched-pool protocol only.,Recall-repair triage is confirmed.,runs/dcal_xai/v2_detector_signal_validity/signal_validity_summary.csv,fn_enrichment_mean,True
E028,Does V2.3 enrich rare false negatives?,GC10-DET,same reused development audit,ensemble combined uncertainty,rare-FN enrichment,1.7859103354,18 rare images / 22 boxes,not preregistered primary,HYPOTHESIS_ONLY,exploratory_only,acquisition realization,Rare-FN signal is small-sample hypothesis generation.,Rare-defect safety improved.,runs/dcal_xai/v2_detector_signal_validity/signal_validity_summary.csv,rare_fn_enrichment_mean,True
E029,Are 200 seeds independent production pools?,GC10-DET,pool design audit,leave-20 pool perturbation,mean pool Jaccard,0.978446,200 highly overlapping pools,independent pool gate,NO,not_identifiable,fixed benchmark pool,Paired same-pool effects are estimable.,Seeds are independent production pools.,docs/stratified_audit_design_feasibility_20260718.md,GC10 design row,True
E030,Are 200 seeds independent production pools?,MPDD,pool design audit,leave-20 pool perturbation,mean pool Jaccard,0.962827,200 highly overlapping pools,independent pool gate,NO,not_identifiable,fixed benchmark pool,Paired same-pool effects are estimable.,Seeds are independent production pools.,docs/stratified_audit_design_feasibility_20260718.md,MPDD design row,True
E031,Are 200 seeds independent production pools?,VisA,pool design audit,leave-20 pool perturbation,mean pool Jaccard,0.995386,200 highly overlapping pools,independent pool gate,NO,not_identifiable,fixed benchmark pool,Paired same-pool effects are estimable.,Seeds are independent production pools.,docs/stratified_audit_design_feasibility_20260718.md,VisA design row,True
E032,Can benchmark metadata define independent pools?,GC10-DET; MPDD; VisA,metadata feasibility audit,EXIF/filename/category groups,datasets passing independent-pool gate,0,0/3 datasets,>=20 documented target-blind mixed groups,NO_GO,not_identifiable,dataset,Current benchmarks cannot test production generalization.,Metadata proxies are production lots.,docs/metadata_feasibility_decision_20260718.md,Dataset decisions table,True
E033,How much planned compute was explicitly avoided?,all branches,branch registry,validity gates,prevented detector model runs,45,minimum documented: D2R 15 + YOLOv8s 30,documented only,SUPPORTED,partially_supported,planned model run,At least 45 detector model runs were not launched.,GPU-hours or money saved.,docs/three_dataset_condition_map_decision_20260718.md,Validity-gated workflow value,True
E034,Was locked final test consumed?,all branches,branch registry,final-test protection,final-test evaluations,0,all documented branches,must equal 0,PASS,partially_supported,branch,The locked final test remained unused.,Final-test performance or generalization.,docs/branch_decision_table_20260718.csv,final_test_consumed=False for all rows,True
E035,Was the external protocol and selection frozen before GT audit?,DeepPCB,prospective aligned-reference selection-only,frozen residual richness,selection SHA-256,15b45b559b887b9abd53322b2919931330a0718bb031dc4dd1c98944a9450e2c,exact cryptographic hash,hash before annotation join,PASS,process_supported,one prospective branch,Protocol and selection were frozen before post-hoc GT audit.,The hash predicts downstream success.,runs/deeppcb_reference_residual_gate/prospective_main_20260718/gate_decision.json,selection_sha256; protocol_sha256; script_sha256,True
E036,Does residual score relate to bbox count?,DeepPCB,eligible six-group parent gate,frozen residual richness,mean group Spearman score vs instances,0.412174268332,"group bootstrap 95% CI [0.290463,0.540022]",mean>=0.30; positive in >=5/6,PASS,prospective_secondary_supported,six predefined DeepPCB design groups,The frozen score had a positive relation with bbox count in this pool.,The relation establishes annotation or detector utility.,runs/deeppcb_reference_residual_gate/prospective_main_20260718/gate_decision.json,aggregate.spearman_score_vs_instances; checks.g1_*,True
E037,Does the top20% enrich total bbox instances enough?,DeepPCB,eligible six-group parent gate,frozen residual richness,total bbox instance enrichment,1.107693434196,"group bootstrap 95% CI [1.048980,1.171691]",mean>=1.20,FAIL_STOP,confirmatory_negative,six predefined DeepPCB design groups,The primary effect-size gate failed and detector authorization stopped.,DeepPCB selector succeeded.,runs/deeppcb_reference_residual_gate/prospective_main_20260718/gate_decision.json,aggregate.instance_enrichment_vs_random; checks.g2_instance_enrichment_mean_ge_1_20,True
E038,Was there an exploratory small-box enrichment?,DeepPCB,parent post-hoc GT audit,frozen residual richness,bbox area<=1024 enrichment,1.307590500814,"group bootstrap 95% CI [1.186109,1.474079]",secondary only; cannot pass parent,EXPLORATORY,exploratory_only,six predefined groups,An exploratory secondary small-box enrichment was observed.,1.307591 is a confirmatory PASS.,runs/deeppcb_reference_residual_gate/prospective_main_20260718/gate_decision.json,aggregate.small_instance_enrichment_vs_random,True
E039,Is the selected bbox mix size-selective?,DeepPCB,frozen mechanism audit,unchanged frozen selection,small-share uplift,1.182816130335,"group bootstrap 95% CI [1.081407,1.371080]",CI low>1 plus six additional checks,PARTIAL_ONLY,exploratory_only,six groups,Small-share increased under the frozen selected set.,General small-defect utility was confirmed.,runs/deeppcb_small_defect_mechanism_audit/phase_a_decision.json,small_share_uplift; small_share_ci95_*,True
E040,Is the small signal group-independent?,DeepPCB,frozen mechanism audit,group dominance audit,max positive small-excess group share,0.457912502907,descriptive decomposition across six groups,<0.40,FAIL,exploratory_only,six groups,"One group explained 45.79% of positive excess, preventing A1 support.",The mechanism is group-independent.,runs/deeppcb_small_defect_mechanism_audit/phase_a_decision.json,dominance.max_group_positive_small_excess_share; checks.single_group_*,True
E041,Which bbox size range drove the secondary signal?,DeepPCB,frozen mechanism audit,predefined size bins,577-1024 px² bbox enrichment,1.335494801291,selected=599; expected_random=448.522899,descriptive post-hoc bin,MAIN_ENRICHED_RANGE,exploratory_only,pooled eligible six groups,The main enriched small-size range was 577-1024 px².,All tiny defects were enriched.,runs/deeppcb_small_defect_mechanism_audit/size_bin_enrichment.csv,size_bin=577-1024; sum query_boxes / sum expected_random_boxes,True
E042,Did the complete mechanism gate pass?,DeepPCB,frozen mechanism audit,spatial/confound/dominance checks,Phase A decision,A2_MECHANISM_AMBIGUOUS,all seven frozen checks,all checks required for A1,A2,confirmatory_negative,one read-only audit,Mechanism evidence remained ambiguous.,Spatial mechanism was confirmed.,runs/deeppcb_small_defect_mechanism_audit/phase_a_decision.json,phase_a_decision; checks,True
E043,Did SSIM produce an adequate development candidate?,DeepPCB,group92000 development-only benchmark,M2 SSIM,small recall; FP/image; brightness retention,0.178571; 0.972973; 0.200000,development-only point estimate on 111 trainval images,small recall>=0.50; FP/image<=1; brightness retention>=0.80,FAIL,confirmatory_negative,group92000 trainval 111,M2 met the FP budget but failed recall and brightness robustness.,SSIM methods are generally invalid.,runs/deeppcb_reference_residual_development/method_comparison.csv,method=M2_SSIM,True
E044,Was any frozen candidate authorized for external confirmation?,DeepPCB,group92000 development-only benchmark,M1/M2/M3,candidate decision,NO_CANDIDATE,exact frozen development decision,all adequacy checks,NO_CANDIDATE,confirmatory_negative,one development group,No tested candidate was authorized for external confirmation.,External reference-residual utility was validated.,runs/deeppcb_reference_residual_development/frozen_candidate.json,result,True
E045,Did the workflow authorize detector expansion?,DeepPCB,parent+mechanism+development chain,authorization workflow,detector training/inference count,0/0,actual observed actions,candidate required before detector screen,STOP,process_supported,one prospective external branch,The branch stopped before detector training and inference.,A counterfactual detector failure or improvement is known.,runs/deeppcb_reference_residual_development/frozen_candidate.json,result=NO_CANDIDATE; paired with parent/Phase A protected-state flags,True
E046,Was the official/final test consumed?,DeepPCB,protected split lock,official-test lock,official/final actual use,0/0,actual observed use,must remain zero,PASS,process_supported,one protected split,Official and final test actual use remained zero.,Counterfactual final-test performance or avoided-use count is known.,runs/deeppcb_reference_residual_gate/prospective_main_20260718/gate_decision.json,official_test_used=false; final_test_used=false; split_lock,True
